PlateMap,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS1,POS1
B,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS1,POS1
C,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS1,POS1
D,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS1,POS1
E,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS1,POS1
F,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS1,POS1
G,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS2,POS2
H,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS2,POS2
I,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS2,POS2
J,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS2,POS2
K,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS3,POS3
L,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS3,POS3
M,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS3,POS3
N,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS3,POS3
O,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS3,POS3
P,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,DMSO,DMSO,POS3,POS3
,,,,,,,,,,,,,,,,,,,,,,,,
Compounds,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
